库编号,统一编号,保存单位,品种名称,译名,科名,属名,学名,系谱,育成年限,原产地,高程,东经,北纬,来源国,芒,壳色,粒色,冬春性,成熟期,穗粒数,穗长,株高,千粒重,粗蛋白,赖氨酸,沉淀值,硬度,容重,抗旱性,耐涝性,芽期耐盐,苗期耐盐,田间抗寒性,人工抗寒性,条锈严重度,条锈反应型,条锈普遍率,叶锈严重度,叶锈反应型,叶锈普遍率,秆锈严重度,秆锈反应型,秆锈普遍率,白粉严重度,白粉反应型,黄矮病,赤霉病病穗,赤霉病病指,赤霉病指数,赤霉病抗性,根腐叶病级,根腐穗病级,其它,省,样品类型
I1B07948,MY000017,京10078,赤坊主,chi fang zhu,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,顶,红,红,弱冬,中,无,无,109,无,无,无,无,47.1,无,5,无,无,无,无,无,40,S,100,5,S,100,100,S,100,5,4,4,73.3,37.5,4.1,S,MR,R,无,国外,国外
I1B20130,MY000018,京10076,无,赤皮赤,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,冬,中,无,无,130,无,15.78,0.39,无,23.9,无,3,无,无,无,无,无,25,MS,100,10,MS,100,80,S,100,6,4,4,100,79.2,4.7,S,MS,R,无,国外,国外
I1B04809,MY000019,京10075,无,赤小麦,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,春,中,无,无,100,无,14.19,0.41,无,无,无,无,无,无,无,无,无,25,S,50,10,MS,100,80,S,100,8,4,6,100,65,4.6,S,S,无,无,国外,国外
I1B07949,MY000020,京10079,赤锈不知1号,chi xiu bu zhi 1 hao,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,红,强冬,中,无,无,105,无,无,无,无,19.3,无,1,无,无,无,无,无,40,MS,100,80,MS,100,80,S,100,6,4,5,100,86.7,4.8,S,MR,R,无,国外,国外
I1B06553,MY000021,陕028,无,科路加,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,白,春,中,无,无,105,无,11.22,0.38,15.9,22.4,无,1,无,无,无,无,无,40,MS,100,10,S,100,100,S,100,2,3,6,100,95.8,5,S,MS,R,无,国外,国外
I1B04810,MY000022,京10013,ァヌト,(D)大和小麦,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,春,中,无,无,70,无,14.05,0.38,无,12.4,无,无,无,无,无,无,无,25,S,50,10,MS,100,40,S,100,7,4,6,100,59.2,4.5,S,MS,无,无,国外,国外
I1B00128,MY000023,京10866,无,丹字麦,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,美国,无,无,无,无,无,无,红,冬,中,无,无,119,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B27444,MY000024,京10009,无,道洛格,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,朝鲜,无,无,无,无,长,白,红,强冬,中,无,无,129,无,无,无,无,无,无,5,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B06440,MY000025,陕011,无,有蜡小麦,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,无,无,无,无,无,长,白,红,春,中,无,无,73,无,10.67,0.38,17,44.6,无,4,无,无,无,5,5,40,MR,100,无,0,无,80,S,100,5,3,7,100,92.5,5,S,MS,MR,无,国外,国外
I1B27332,MY000026,陕012,无,无蜡小麦,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,无,无,无,无,无,长,红,红,春,中,无,无,95,无,11.36,0.39,23,38.9,无,4,无,无,无,无,无,65,MS,100,无,0,无,80,S,100,4,3,4,100,96.7,5,S,MR,R,无,国外,国外
